Mario Chalmers,188,86
Pat Connaughton,196,93
Sasha Kaun,211,117
Michael Beasley,206,106
Dirk Nowitzki,213,111
J.R. Smith,198,102
Jeff Ayres,206,108
Gary Harris,193,95
Jonas Valanciunas,213,120
Jeff Teague,188,84
Marcus Smart,193,99
Bruno Caboclo,206,98
Thabo Sefolosha,201,99
Aaron Gordon,206,99
Tony Snell,201,90
Raul Neto,185,81
Larry Nance Jr.,206,104
Lance Stephenson,196,104
Jon Leuer,208,103
Wesley Matthews,196,99
Amar'e Stoudemire,208,111
Mike Muscala,211,108
Rudy Gay,203,104
Paul Millsap,203,111
Joe Young,188,81
P.J. Hairston,198,104
Nazr Mohammed,208,100
Sasha Vujacic,201,88
Dion Waiters,193,102
Kevon Looney,206,99
D'Angelo Russell,196,88
Mike Dunleavy,206,104
T.J. McConnell,188,90
Andrew Nicholson,206,113
Jared Dudley,201,102
Cody Zeller,213,108
Anthony Bennett,203,111
Hassan Whiteside,213,120
Devyn Marble,198,90
Manu Ginobili,198,92
Jameer Nelson,183,86
Kelly Olynyk,213,107
Kostas Papanikolaou,203,102
Rajon Rondo,185,84
Will Barton,198,79
Randy Foye,193,96
Orlando Johnson,196,99
Willie Cauley-Stein,213,108
R.J. Hunter,196,83
Kendall Marshall,193,90
Steve Blake,190,78
Eric Moreland,208,107
Jordan Hamilton,201,99
Lavoy Allen,206,117
J.J. Barea,183,83
Tony Parker,188,83
Zach Randolph,206,117
Sean Kilpatrick,193,95
Brandon Rush,198,99
DeJuan Blair,201,122
Gorgui Dieng,211,109
Jordan Adams,196,94
Julius Randle,206,113
Jimmer Fredette,188,88
Tyus Jones,188,88
Iman Shumpert,196,99
Kendrick Perkins,208,122
Tibor Pleiss,221,116
Sonny Weems,198,92
Damien Inglis,203,111
Tyler Hansbrough,206,113
Jae Crowder,198,106
LaMarcus Aldridge,211,117
Andrew Goudelock,190,90
Luis Montero,201,83
Isaiah Canaan,183,91
Marcus Thornton,193,92
Rodney Hood,203,93
Kyrie Irving,190,87
Terry Rozier,188,86
Zach LaVine,196,85
Josh Richardson,198,90
Eric Bledsoe,185,86
DeMar DeRozan,201,100
Paul George,206,99
Zaza Pachulia,211,122
David Lee,206,111
DeMarre Carroll,203,97
Wesley Johnson,201,97
Frank Kaminsky,213,109
Jusuf Nurkic,213,127
Rasual Butler,201,97
Jorge Gutierrez,190,86
Tyreke Evans,198,99
K.J. McDaniels,198,92
Cory Jefferson,206,98
Caron Butler,201,103
Chris Kaman,213,120
Nik Stauskas,198,92
Rashad Vaughn,198,91
Kyle Korver,201,96
Jerryd Bayless,190,90
Arron Afflalo,196,95
Dante Cunningham,203,104
