text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,original_text
gavinnewsom senategop  years cas lt gov gavinnewsom yet tweet single ,FALSE,1,GavinNewsom,2017-07-25T21:04:48Z,TRUE,889943916874579968,889954612916047872,11347122,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Edurd,0,FALSE,FALSE,,,"@GavinNewsom @SenateGOP It's been about 7 years as CA's Lt. Gov., but @GavinNewsom has yet to tweet about a single… https://t.co/5aVPjLKtwu"
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:04:32Z,FALSE,,889954544544698368,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hamsteaky,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:03:10Z,FALSE,,889954198808403968,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",maxpegues,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:02:49Z,FALSE,,889954111847776256,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cynfulfan,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:02:34Z,FALSE,,889954048308240384,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TerriFraracci,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:02:16Z,FALSE,,889953971611115520,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vbiscotti,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:01:46Z,FALSE,,889953846688088066,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tawny2222,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:01:24Z,FALSE,,889953754182799360,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ainakosiboyie,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:00:58Z,FALSE,,889953647269785600,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MsAmandaJonesCa,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:00:41Z,FALSE,,889953576260255744,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TrackStarGazing,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:00:25Z,FALSE,,889953507490619393,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",starpwr77,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:00:14Z,FALSE,,889953460904370176,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EdGlavin,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T20:59:29Z,FALSE,,889953273897140224,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",asong2sing,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T20:59:15Z,FALSE,,889953212698054656,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",SellHomesAV,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T20:58:55Z,FALSE,,889953129176981512,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",argyris,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T20:58:51Z,FALSE,,889953112210919424,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pmeahan888,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom conservatives lol now want gut congressional budget office like math party fiscal r,FALSE,0,,2017-07-25T20:58:03Z,FALSE,,889952913635786753,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BirdCallMusic,438,TRUE,FALSE,,,"RT @GavinNewsom: So ""conservatives"" (LOL) now want to gut the Congressional Budget Office because they don't like math.  Party of ""fiscal r…"
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T20:57:44Z,FALSE,,889952831603691520,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pbrinkley42,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T20:57:37Z,FALSE,,889952801979281408,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",franfran77,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
